Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Abdur Razzak,2012-2015,27,25,84.1,1,590,30,4/33,19.66,7,16.8,1,0
Abu Hider,2015-2015,12,12,45.4,1,316,21,4/19,15.04,6.91,13,2,0
Abul Hasan,2012-2015,21,21,59,0,576,19,3/20,30.31,9.76,18.6,0,0
Al-Amin Hossain,2012-2015,21,21,68,0,563,21,5/36,26.8,8.27,19.4,0,1
Alok Kapali,2012-2015,31,15,35,0,297,12,3/23,24.75,8.48,17.5,0,0
Arafat Sunny,2012-2015,33,33,104.5,0,679,32,4/14,21.21,6.47,19.6,1,0
Elias Sunny,2012-2015,26,24,76.4,1,517,27,3/17,19.14,6.74,17,0,0
Enamul Haque jnr,2012-2015,27,27,86.5,0,556,31,3/14,17.93,6.4,16.8,0,0
Farhad Reza,2012-2015,25,25,78.5,0,662,18,3/22,36.77,8.39,26.2,0,0
Mahmudullah,2012-2015,37,24,59.5,1,404,15,2/6,26.93,6.75,23.9,0,0
Mashrafe Mortaza,2012-2015,34,31,105.2,1,729,23,2/20,31.69,6.92,27.4,0,0
Mohammad Shahid,2015-2015,10,10,36.3,1,226,14,4/12,16.14,6.19,15.6,1,0
Monir Hossain,2012-2013,19,19,65,2,451,15,2/22,30.06,6.93,26,0,0
Mosharraf Hossain,2012-2015,29,29,90.3,1,571,36,4/9,15.86,6.3,15,2,0
Mustafizur Rahman,2015-2015,10,10,37.3,1,214,14,3/14,15.28,5.7,16,0,0
Nabil Samad,2012-2015,22,22,76,1,557,11,2/23,50.63,7.32,41.4,0,0
Naeem Islam,2013-2015,12,11,37,0,269,11,2/17,24.45,7.27,20.1,0,0
Nasir Hossain,2012-2015,34,31,87.4,3,598,19,3/12,31.47,6.82,27.6,0,0
Nazmul Islam,2012-2015,29,27,80.3,1,610,17,3/18,35.88,7.57,28.4,0,0
Rubel Hossain,2012-2015,18,18,50.2,0,423,18,4/44,23.5,8.4,16.7,1,0
Saqlain Sajib,2012-2015,26,26,81.5,0,622,25,3/22,24.88,7.6,19.6,0,0
Shafiul Islam,2012-2015,27,26,77.3,0,640,24,3/21,26.66,8.25,19.3,0,0
Shakib Al Hasan,2012-2015,34,34,129.4,3,851,48,4/16,17.72,6.56,16.2,1,0
Sohag Gazi,2012-2015,17,17,59.1,0,412,19,3/20,21.68,6.96,18.6,0,0
Suhrawadi Shuvo,2012-2015,25,25,81,1,608,20,3/20,30.4,7.5,24.3,0,0
Taijul Islam,2012-2015,23,23,66.2,0,474,19,3/23,24.94,7.14,20.9,0,0
Taskin Ahmed,2013-2015,11,11,40,1,327,12,4/31,27.25,8.17,20,1,0